SNR,TPR,FPR,TTFD,Alpha (%),Feature,Window,Detection
-7.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-7.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-7.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-7.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-5.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-5.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-5.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-5.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-5.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-5.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-5.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-5.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-5.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-5.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-5.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-5.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-5.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-5.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-5.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-2.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-2.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-2.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-2.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-2.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-2.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-2.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-2.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-2.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-2.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-2.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-2.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-2.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-2.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-2.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
0.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
0.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
0.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
0.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
0.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
0.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
0.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
0.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
0.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
0.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
0.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
0.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
0.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
0.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
0.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
2.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
2.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
2.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
2.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
2.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
2.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
2.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
2.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
2.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
2.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
2.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
2.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
2.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
2.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
2.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
5.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
5.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
5.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
5.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
5.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
5.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
5.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
5.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
5.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
5.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
5.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
5.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
5.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
5.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
5.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-30.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-30.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-30.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-30.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-30.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-30.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-30.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-30.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-30.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-30.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-30.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-30.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-30.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-30.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-30.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-27.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-27.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-27.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-27.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-27.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-27.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-27.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-27.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-27.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-27.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-27.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-27.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-27.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-27.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-27.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-25.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-25.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-25.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-25.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-25.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-25.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-25.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-25.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-25.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-25.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-25.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-25.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-25.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-25.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-25.0,True,True,1.0,5.0,MSC,Sliding,Per-Window
-22.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-22.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-22.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-22.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-22.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-22.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-22.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-22.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-22.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
-22.5,True,True,1.0,5.0,MSC,Sliding,Per-Window
