SNR,TPR,FPR,TTFD,Alpha (%),Feature,Window,Detection
-12.5,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-12.5,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-10.0,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-10.0,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-10.0,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-10.0,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-10.0,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-10.0,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-10.0,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-10.0,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-10.0,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-10.0,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-10.0,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-10.0,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-10.0,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-10.0,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-10.0,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-7.5,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-7.5,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-7.5,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-7.5,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-7.5,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-7.5,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-7.5,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-7.5,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-7.5,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-7.5,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-7.5,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-7.5,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-7.5,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-7.5,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-7.5,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-5.0,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-5.0,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-5.0,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-5.0,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-5.0,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-5.0,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-5.0,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-5.0,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
-5.0,1.0,1.0,1.0,5.0,MSC-Per-Window,Sliding,Per-Window
