mmin,mmax,mstep,minwindowsize,ntests,eegchannel,stimlvl,method,tp,fp,tn,fn
125,240,116,115,2,Cz,50dB,cgst,0.0227272727272727,0.329545454545455,0.795454545454545,0.988636363636364
126,240,115,114,2,Cz,50dB,cgst,0.0227272727272727,0.329545454545455,0.795454545454545,0.988636363636364
127,240,114,113,2,Cz,50dB,cgst,0.0113636363636364,0.329545454545455,0.795454545454545,0.988636363636364
128,240,113,112,2,Cz,50dB,cgst,0.0113636363636364,0.329545454545455,0.795454545454545,0.988636363636364
129,240,112,111,2,Cz,50dB,cgst,0.0113636363636364,0.284090909090909,0.806818181818182,0.988636363636364
130,240,111,110,2,Cz,50dB,cgst,0.0227272727272727,0.295454545454545,0.795454545454545,0.988636363636364
131,240,110,109,2,Cz,50dB,cgst,0.0113636363636364,0.295454545454545,0.772727272727273,0.988636363636364
132,240,109,108,2,Cz,50dB,cgst,0.0113636363636364,0.306818181818182,0.795454545454545,0.988636363636364
133,240,108,107,2,Cz,50dB,cgst,0.0227272727272727,0.318181818181818,0.795454545454545,0.988636363636364
134,240,107,106,2,Cz,50dB,cgst,0.0113636363636364,0.306818181818182,0.818181818181818,0.988636363636364
135,240,106,105,2,Cz,50dB,cgst,0.0113636363636364,0.295454545454545,0.818181818181818,0.988636363636364
136,240,105,104,2,Cz,50dB,cgst,0.0113636363636364,0.306818181818182,0.795454545454545,0.988636363636364
137,240,104,103,2,Cz,50dB,cgst,0.0227272727272727,0.295454545454545,0.795454545454545,0.988636363636364
138,240,103,102,2,Cz,50dB,cgst,0.0227272727272727,0.318181818181818,0.806818181818182,0.988636363636364
139,240,102,101,2,Cz,50dB,cgst,0.0227272727272727,0.295454545454545,0.806818181818182,0.988636363636364
140,240,101,100,2,Cz,50dB,cgst,0.0340909090909091,0.284090909090909,0.795454545454545,0.988636363636364
141,240,100,99,2,Cz,50dB,cgst,0.0454545454545455,0.261363636363636,0.795454545454545,0.988636363636364
142,240,99,98,2,Cz,50dB,cgst,0.0454545454545455,0.261363636363636,0.795454545454545,0.977272727272727
143,240,98,97,2,Cz,50dB,cgst,0.0454545454545455,0.261363636363636,0.784090909090909,0.977272727272727
144,240,97,96,2,Cz,50dB,cgst,0.0454545454545455,0.261363636363636,0.772727272727273,0.977272727272727
145,240,96,95,2,Cz,50dB,cgst,0.0340909090909091,0.261363636363636,0.784090909090909,0.977272727272727
146,240,95,94,2,Cz,50dB,cgst,0.0454545454545455,0.261363636363636,0.784090909090909,0.977272727272727
147,240,94,93,2,Cz,50dB,cgst,0.0454545454545455,0.261363636363636,0.784090909090909,0.977272727272727
148,240,93,92,2,Cz,50dB,cgst,0.0454545454545455,0.261363636363636,0.784090909090909,0.988636363636364
149,240,92,91,2,Cz,50dB,cgst,0.0340909090909091,0.272727272727273,0.795454545454545,0.988636363636364
150,240,91,90,2,Cz,50dB,cgst,0.0340909090909091,0.284090909090909,0.795454545454545,0.988636363636364
151,240,90,89,2,Cz,50dB,cgst,0.0340909090909091,0.272727272727273,0.818181818181818,0.988636363636364
152,240,89,88,2,Cz,50dB,cgst,0.0340909090909091,0.261363636363636,0.818181818181818,0.988636363636364
153,240,88,87,2,Cz,50dB,cgst,0.0227272727272727,0.272727272727273,0.806818181818182,0.988636363636364
154,240,87,86,2,Cz,50dB,cgst,0.0227272727272727,0.25,0.795454545454545,0.988636363636364
155,240,86,85,2,Cz,50dB,cgst,0.0227272727272727,0.272727272727273,0.806818181818182,0.977272727272727
156,240,85,84,2,Cz,50dB,cgst,0.0227272727272727,0.261363636363636,0.818181818181818,0.988636363636364
157,240,84,83,2,Cz,50dB,cgst,0.0227272727272727,0.261363636363636,0.784090909090909,0.988636363636364
158,240,83,82,2,Cz,50dB,cgst,0.0227272727272727,0.261363636363636,0.806818181818182,0.977272727272727
159,240,82,81,2,Cz,50dB,cgst,0.0340909090909091,0.261363636363636,0.806818181818182,0.988636363636364
160,240,81,80,2,Cz,50dB,cgst,0.0454545454545455,0.261363636363636,0.818181818181818,0.988636363636364
161,240,80,79,2,Cz,50dB,cgst,0.0340909090909091,0.261363636363636,0.829545454545455,0.977272727272727
162,240,79,78,2,Cz,50dB,cgst,0.0340909090909091,0.25,0.829545454545455,0.977272727272727
163,240,78,77,2,Cz,50dB,cgst,0.0227272727272727,0.25,0.840909090909091,0.988636363636364
164,240,77,76,2,Cz,50dB,cgst,0.0340909090909091,0.25,0.852272727272727,0.988636363636364
